comment,label
màu nhợt mhat qua thất_vọng,1
âm_thanh không phù_hợp để chơi game,1
đặt number đơn number đỏ number đen đưa đến lại là number cái đen trong khi ghi ở ngoài là đỏ_đen,1
hàng hơi xấu với trơn,1
hàng mới sài number bữa thì hư mất number loa vệ_tinh roi còn cái kia chắc mấy bữa nữa cũng hư thôi đúng là của rẻ là của ôi,1
xấu vlll,1
bán hàng vô_tâm thanh_toán qua aripay rồi chờ mãi vẫn không nhận được hàng_không trả_lời được nv giao hàng là ai không giải_quyết được number k là số tiền không lớn nhưng nó là tiền của người ta làm ra coi như bố_thí cho kẻ gặp khó_khăn làm_ăn thất_đức,1
number bữa mic hỏng,1
hàng china nhái chất_lượng kém,1
đóng_gói sản_phẩm rất kém gói ngoài xốp trắng gửi đi sản_phẩm nhận được lát bẹp,1
cửa_hàng lừa_đảo mặc_dù đã nhắn là test trước khi giao để đỡ mất_công trả hàng nhưng vẫn cố_tình giao hàng lỗi không dùng được y c cửa_hàng qua đổi hoặc hoàn tiền nhưng không chịu cố_tình làm khó_dễ rất nhiều lần bị như_vậy rồi ghét quá cho number và block cửa_hàng luôn đúng bài bẩn của mấy cửa_hàng online tránh xa,1
giao thiếu hàng,1
cửa_hàng giao sai sản_phẩm đặt dây silicon trong nhưng cửa_hàng giao dây thường,1
dây khác hình_mẫu hoàn_toàn màu xám mình mua ở ngoài nó ám tím kiểu màu khoai_môn nhạt không đẹp như hình_mẫu khác xa với dây màu xám mình mua của number cửa_hàng khác cả number dây loại đều màu tím tím,1
lúc đặt thì mình đặt màu hồng cửa_hàng gửi cho mình màu trắng lúc test thì chỉ nghe được một bên dây thì mỏng nữa,1
nghe được number lần bị hư number bên,1
mọi người ơi tai nghe kém chất_lượng lắm luôn á về cắm vào nghe được có number bên tai trái_tai phải không phát ra âm_thanh được luôn về mic thì mình học online nên phải mở mic để nói_chuyện mà mở thì đầu dây bên kia không nghe được j đóng_gói sơ xài có mỗi cái hộp giấy không có màng bọc j hết giá number k thì không đáng nha,1
tai nghe có nút bấm mà không có tác_dụng gì nghe được vài hôm tạch number bên,1
liệt bên tai trái,1
chỉ nghe được number tai rất tệ,1
giao sai màu đặt hồng giao vàng,1
anh name cư_xử hơi thô_lỗ,2
tai nghe gì mà nghe được có number bên à đúng hàng dỏm,1
biết tiền nào của đấy mà mic bắt rất kém không ổn_định loa lúc to lúc nhỏ ngay ở khoảng_cách gần cũng bắt không ổn_định nói chập_chờn rất khó_chịu đã nhắn_tin mà không thấy cửa_hàng phản_hồi,1
vận_chuyển móp méo rách bể đồ tùm_lum thật_sự chán quá_trình vận_chuyển của shopee,2
sai_lầm mua hàng cửa_hàng này mất thời_gian chất_lượng kém giao hàng lỗi mạch chết cũng may đặt thử vài mạch được cạch cửa_hàng này ra,1
sản_phẩm tốt trong tầm giá,2
hàng tốt tam được dung mo ta,2
mua combo mic không có mic hỏi thì bảo hàng minh_hoạ nói_chuyện với khách_hàng rất mất lịch_sự,1
cửa_hàng gủi hàng lỗi thiếu báo cửa_hàng không giải_quyết báo cửa hàngpe thì cửa_hàng định bịp mua number định trả number đ anh_em đừng mua lừa đấy,1
cửa_hàng bán hàng không có tâm hỏi hướng_dẫn sử_dụng nhiều lần không trả_lời hời_hợt quá tệ tôi sẽ gọi phản_ánh lên tổng_đài cửa hàngeee,1
mir bị lỗi nt thì bua cháo bua chè thôi_thì number lần,1
